Velocity:0,Velocity:1,Velocity:2,Points:0,Points:1,Points:2,,
0.220401,0.13789999,-0.00057116,1.3464,0.44879901,2.7626501E-17,0.2243999,0
0.18376601,-0.247583,-0.000140979,1.5707999,0.44879901,2.7626501E-17,0.2244001,0
0.22222,0.037080798,-0.00088762899,1.7952,0.44879901,2.7626501E-17,0.2243999,0
0.282543,0.180629,0.00071403099,2.0195999,0.44879901,2.7626501E-17,0.22439,0
0.39274999,0.192093,0.00202694,2.2439899,0.44879901,2.7626501E-17,0.2244001,0
0.52678198,0.091568597,0.00193792,2.46839,0.44879901,2.7626501E-17,0.2244,0
0.60450399,-0.089782,0.00085769,2.69279,0.44879901,2.7626501E-17,0.2244001,0
0.49170801,-0.30972999,0.00072086602,2.9171901,0.44879901,2.7626501E-17,0.2244,0
-0.000112304,-0.51498097,0.0050037899,3.1415901,0.44879901,2.7626501E-17,0.2243998,0
-0.49170801,-0.309744,0.00072394899,3.3659899,0.44879901,2.7626501E-17,0.2244001,0
-0.604509,-0.089807302,0.00085815397,3.59039,0.44879901,2.7626501E-17,0.2244,0
-0.52679801,0.091539897,0.00194064,3.81479,0.44879901,2.7626501E-17,0.2243998,0
-0.39278001,0.19206899,0.00203155,4.0391898,0.44879901,2.7626501E-17,0.2244001,0
-0.282579,0.18061,0.00071690202,4.2635899,0.44879901,2.7626501E-17,0.224399999999999,0
-0.222239,0.037052199,-0.00089139602,4.4879899,0.44879901,2.7626501E-17,0.2244,0
-0.181503,-0.23225699,-0.0035824999,4.7123899,0.44879901,2.7626501E-17,0.2244001,0
-0.22032601,0.137964,-0.00057527202,4.93679,0.44879901,2.7626501E-17,0.2244,0
-0.30158499,-0.0147744,0.000314114,5.16119,0.44879901,2.7626501E-17,0.2244001,0
-0.28564799,-0.310727,0.00067122298,5.3855901,0.44879901,2.7626501E-17,0.2244,0
-0.134193,-0.52839202,0.00102591,5.6099901,0.44879901,2.7626501E-17,0.2244001,0
0.089794897,-0.60451502,0.00085233903,5.8343902,0.44879901,2.7626501E-17,0.2244,0
0.222021,-0.634085,-0.00143106,6.0587902,0.44879901,2.7626501E-17,0.2243996,0
-0.00311761,-0.87033999,-0.0084615396,6.2831898,0.44879901,2.7626501E-17,-6.2831898,0.22439897
0.00050715002,-0.72948802,-0.0060674599,2.7626501E-17,0.67319798,2.7626501E-17,0.224399,0
0.0050941398,-0.563191,0.000258591,0.224399,0.67319798,2.7626501E-17,0.22440001,0
0.091548897,-0.52678603,0.00193793,0.44879901,0.67319798,2.7626501E-17,0.22439897,0
0.18287399,-0.39430699,0.00158665,0.67319798,0.67319798,2.7626501E-17,0.22440005,0
0.236862,-0.124121,0.00081969303,0.89759803,0.67319798,2.7626501E-17,0.22440197,0
0.246095,0.141066,0.00025091,1.122,0.67319798,2.7626501E-17,0.2244,0
0.237947,0.0742165,-0.00050697703,1.3464,0.67319798,2.7626501E-17,0.2243999,0
0.275895,-0.84950203,0.00060762197,1.5707999,0.67319798,2.7626501E-17,0.2244001,0
0.26993799,-0.090385802,-0.00195797,1.7952,0.67319798,2.7626501E-17,0.2243999,0
0.230151,0.19216099,-0.000692003,2.0195999,0.67319798,2.7626501E-17,0.22439,0
0.26708201,0.230423,0.00103692,2.2439899,0.67319798,2.7626501E-17,0.2244001,0
0.394308,0.182881,0.00158377,2.46839,0.67319798,2.7626501E-17,0.2244,0
0.52843201,0.13421001,0.00102719,2.69279,0.67319798,2.7626501E-17,0.2244001,0
0.48908699,0.095282398,0.00116938,2.9171901,0.67319798,2.7626501E-17,0.2244,0
0.00105558,0.00316315,0.0055446401,3.1415901,0.67319798,2.7626501E-17,0.2243998,0
-0.489086,0.095265903,0.00117183,3.3659899,0.67319798,2.7626501E-17,0.2244001,0
-0.52841502,0.134198,0.00102963,3.59039,0.67319798,2.7626501E-17,0.2244,0
-0.39428899,0.182882,0.00158808,3.81479,0.67319798,2.7626501E-17,0.2243998,0
-0.26708201,0.23043799,0.00104206,4.0391898,0.67319798,2.7626501E-17,0.2244001,0
-0.230179,0.19218101,-0.00068870402,4.2635899,0.67319798,2.7626501E-17,0.224399999999999,0
-0.269979,-0.090379201,-0.0019596601,4.4879899,0.67319798,2.7626501E-17,0.2244,0
-0.274582,-0.83607602,-0.0028504401,4.7123899,0.67319798,2.7626501E-17,0.2244001,0
-0.237911,0.074286997,-0.000511288,4.93679,0.67319798,2.7626501E-17,0.2244,0
-0.24606501,0.14115199,0.00024950501,5.16119,0.67319798,2.7626501E-17,0.2244001,0
-0.23685201,-0.124064,0.000820897,5.3855901,0.67319798,2.7626501E-17,0.2244,0
-0.182882,-0.39428899,0.0015900499,5.6099901,0.67319798,2.7626501E-17,0.2244001,0
-0.091563404,-0.52679598,0.00194231,5.8343902,0.67319798,2.7626501E-17,0.2244,0
-0.0051048901,-0.56320697,0.00026125801,6.0587902,0.67319798,2.7626501E-17,0.2243996,0
-0.00051456399,-0.72948802,-0.0060713501,6.2831898,0.67319798,2.7626501E-17,-6.2831898,0.22440005
-0.00189603,-0.156128,-0.0041964501,2.7626501E-17,0.89759803,2.7626501E-17,0.224399,0
0.116428,-0.31815401,0.00124368,0.224399,0.89759803,2.7626501E-17,0.22440001,0
0.192092,-0.39276701,0.0020349,0.44879901,0.89759803,2.7626501E-17,0.22439897,0
0.23044001,-0.267097,0.00104397,0.67319798,0.89759803,2.7626501E-17,0.22440005,0
0.239215,0.0082393596,0.000067220302,0.89759803,0.89759803,2.7626501E-17,0.22440197,0
0.22855701,0.219143,-0.000169497,1.122,0.89759803,2.7626501E-17,0.2244,0
0.21100999,-0.0119678,-0.00001079,1.3464,0.89759803,2.7626501E-17,0.2243999,0
0.204577,-1.2357,0.00153151,1.5707999,0.89759803,2.7626501E-17,0.2244001,0
0.108612,-0.200307,-0.00222386,1.7952,0.89759803,2.7626501E-17,0.2243999,0
-0.0053834999,0.17275,-0.0015414,2.0195999,0.89759803,2.7626501E-17,0.22439,0
-0.0082553504,0.23919301,0.000065215099,2.2439899,0.89759803,2.7626501E-17,0.2244001,0
0.124114,0.236855,0.000816866,2.46839,0.89759803,2.7626501E-17,0.2244,0
0.310803,0.28567401,0.00066895701,2.69279,0.89759803,2.7626501E-17,0.2244001,0
0.36585301,0.38769901,0.00131144,2.9171901,0.89759803,2.7626501E-17,0.2244,0
0.00170842,0.42708501,0.00615995,3.1415901,0.89759803,2.7626501E-17,0.2243998,0
-0.36585999,0.38767499,0.00131297,3.3659899,0.89759803,2.7626501E-17,0.2244001,0
-0.310783,0.28566101,0.00067385199,3.59039,0.89759803,2.7626501E-17,0.2244,0
-0.124081,0.23686901,0.00082200702,3.81479,0.89759803,2.7626501E-17,0.2243998,0
0.0082769301,0.239233,0.000069679001,4.0391898,0.89759803,2.7626501E-17,0.2244001,0
0.00537699,0.172801,-0.00153803,4.2635899,0.89759803,2.7626501E-17,0.224399999999999,0
-0.108643,-0.200269,-0.0022231699,4.4879899,0.89759803,2.7626501E-17,0.2244,0
-0.20152999,-1.2261699,-0.00087770802,4.7123899,0.89759803,2.7626501E-17,0.2244001,0
-0.211004,-0.0119113,-0.000013477,4.93679,0.89759803,2.7626501E-17,0.2244,0
-0.228554,0.219198,-0.000169634,5.16119,0.89759803,2.7626501E-17,0.2244001,0
-0.23922101,0.0082668997,0.000068920097,5.3855901,0.89759803,2.7626501E-17,0.2244,0
-0.230452,-0.26709399,0.00104685,5.6099901,0.89759803,2.7626501E-17,0.2244001,0
-0.1921,-0.39277399,0.0020383601,5.8343902,0.89759803,2.7626501E-17,0.2244,0
-0.116426,-0.31815699,0.00124724,6.0587902,0.89759803,2.7626501E-17,0.2243996,0
0.00190363,-0.15612701,-0.00419317,6.2831898,0.89759803,2.7626501E-17,-6.2831898,0.22440197
-0.00290701,0.62653297,-0.00404179,2.7626501E-17,1.122,2.7626501E-17,0.224399,0
0.121745,-0.0091603296,0.00070240599,0.224399,1.122,2.7626501E-17,0.22440001,0
0.18063501,-0.28256899,0.00072745001,0.44879901,1.122,2.7626501E-17,0.22439897,0
0.19218899,-0.230178,-0.000683497,0.67319798,1.122,2.7626501E-17,0.22440005,0
0.17277899,0.0053643701,-0.0015398799,0.89759803,1.122,2.7626501E-17,0.22440197,0
0.13672,0.175247,-0.00114374,1.122,1.122,2.7626501E-17,0.2244,0
0.096273303,-0.075505398,-0.0000897555,1.3464,1.122,2.7626501E-17,0.2243999,0
0.067586601,-1.2126,0.000926696,1.5707999,1.122,2.7626501E-17,0.2244001,0
-0.0427236,-0.240436,-0.00157531,1.7952,1.122,2.7626501E-17,0.2243999,0
-0.17525101,0.136713,-0.00114114,2.0195999,1.122,2.7626501E-17,0.22439,0
-0.21915901,0.228549,-0.000166818,2.2439899,1.122,2.7626501E-17,0.2244001,0
-0.141087,0.24608,0.00025048701,2.46839,1.122,2.7626501E-17,0.2244,0
0.0148555,0.301622,0.00031241201,2.69279,1.122,2.7626501E-17,0.2244001,0
0.127086,0.40880001,0.00151943,2.9171901,1.122,2.7626501E-17,0.2244,0
0.0034193699,0.482546,0.0066577098,3.1415901,1.122,2.7626501E-17,0.2243998,0
-0.127103,0.40876499,0.00152119,3.3659899,1.122,2.7626501E-17,0.2244001,0
-0.014846,0.30159301,0.00031743699,3.59039,1.122,2.7626501E-17,0.2244,0
0.14111701,0.24608199,0.00025436399,3.81479,1.122,2.7626501E-17,0.2243998,0
0.21919499,0.228588,-0.000164258,4.0391898,1.122,2.7626501E-17,0.2244001,0
0.17527699,0.136775,-0.00113881,4.2635899,1.122,2.7626501E-17,0.224399999999999,0
0.0427313,-0.240383,-0.00157383,4.4879899,1.122,2.7626501E-17,0.2244,0
-0.0616493,-1.20804,-0.00026908601,4.7123899,1.122,2.7626501E-17,0.2244001,0
-0.096287899,-0.075477198,-0.000089237401,4.93679,1.122,2.7626501E-17,0.2244,0
-0.13674299,0.175267,-0.00114209,5.16119,1.122,2.7626501E-17,0.2244001,0
-0.172802,0.00536551,-0.00153874,5.3855901,1.122,2.7626501E-17,0.2244,0
-0.192204,-0.230187,-0.000683213,5.6099901,1.122,2.7626501E-17,0.2244001,0
-0.18063501,-0.282574,0.00072750502,5.8343902,1.122,2.7626501E-17,0.2244,0
-0.121728,-0.0091550099,0.00070349599,6.0587902,1.122,2.7626501E-17,0.2243996,0
0.00293219,0.62653297,-0.0040381099,6.2831898,1.122,2.7626501E-17,-6.2831898,0.2244
-0.00129594,1.18539,-0.0032504799,2.7626501E-17,1.3464,2.7626501E-17,0.224399,0
0.102403,0.215354,-0.00040216601,0.224399,1.3464,2.7626501E-17,0.22440001,0
0.037049301,-0.222241,-0.00087260699,0.44879901,1.3464,2.7626501E-17,0.22439897,0
-0.090383597,-0.26996499,-0.00194917,0.67319798,1.3464,2.7626501E-17,0.22440005,0
-0.200289,-0.108627,-0.00221952,0.89759803,1.3464,2.7626501E-17,0.22440197,0
-0.240428,0.042731099,-0.00157161,1.122,1.3464,2.7626501E-17,0.2244,0
-0.185928,-0.073164798,-0.00119369,1.3464,1.3464,2.7626501E-17,0.2243999,0
-0.036352199,-0.75159502,-0.0032331401,1.5707999,1.3464,2.7626501E-17,0.2244001,0
0.073198199,-0.18591399,-0.00120343,1.7952,1.3464,2.7626501E-17,0.2243999,0
0.075516902,0.096294299,-0.000093412098,2.0195999,1.3464,2.7626501E-17,0.22439,0
0.0119531,0.21102101,-0.0000100421,2.2439899,1.3464,2.7626501E-17,0.2244001,0
-0.074242897,0.237931,-0.00050334499,2.46839,1.3464,2.7626501E-17,0.2244,0
-0.13792001,0.220367,-0.00056643703,2.69279,1.3464,2.7626501E-17,0.2244001,0
-0.132027,0.16534901,0.00136448,2.9171901,1.3464,2.7626501E-17,0.2244,0
0.0075885998,0.043573,0.00741666,3.1415901,1.3464,2.7626501E-17,0.2243998,0
0.132009,0.165309,0.00136824,3.3659899,1.3464,2.7626501E-17,0.2244001,0
0.137917,0.220323,-0.00056506501,3.59039,1.3464,2.7626501E-17,0.2244,0
0.074260101,0.237912,-0.00050347199,3.81479,1.3464,2.7626501E-17,0.2243998,0
-0.0119147,0.21104001,-0.000010617,4.0391898,1.3464,2.7626501E-17,0.2244001,0
-0.0754648,0.096344002,-0.000093547598,4.2635899,1.3464,2.7626501E-17,0.224399999999999,0
-0.073150799,-0.185868,-0.00120272,4.4879899,1.3464,2.7626501E-17,0.2244,0
0.039294899,-0.75184798,-0.0035737299,4.7123899,1.3464,2.7626501E-17,0.2244001,0
0.1859,-0.073164999,-0.00118886,4.93679,1.3464,2.7626501E-17,0.2244,0
0.240389,0.042727798,-0.00156801,5.16119,1.3464,2.7626501E-17,0.2244001,0
0.200256,-0.108638,-0.0022191301,5.3855901,1.3464,2.7626501E-17,0.2244,0
0.090366699,-0.26997501,-0.0019515899,5.6099901,1.3464,2.7626501E-17,0.2244001,0
-0.037047699,-0.22224,-0.00087612798,5.8343902,1.3464,2.7626501E-17,0.2244,0
-0.102387,0.21536499,-0.00040489199,6.0587902,1.3464,2.7626501E-17,0.2243996,0
0.0013185,1.18539,-0.0032514101,6.2831898,1.3464,2.7626501E-17,-6.2831898,0.2243999
0.0154139,0.86802399,0.0094081601,2.7626501E-17,1.5707999,2.7626501E-17,0.224399,0
0.226087,0.170525,-0.000380087,0.224399,1.5707999,2.7626501E-17,0.22440001,0
-0.23233999,-0.181532,-0.0035571801,0.44879901,1.5707999,2.7626501E-17,0.22439897,0
-0.83613402,-0.27458701,-0.0028303601,0.67319798,1.5707999,2.7626501E-17,0.22440005,0
-1.22619,-0.20152,-0.00085736997,0.89759803,1.5707999,2.7626501E-17,0.22440197,0
-1.20804,-0.061640698,-0.00024644399,1.122,1.5707999,2.7626501E-17,0.2244,0
-0.75183302,0.039302099,-0.0035563,1.3464,1.5707999,2.7626501E-17,0.2243999,0
-0.0108713,-0.0075712502,-0.0132936,1.5707999,1.5707999,2.7626501E-17,0.2244001,0
0.75164902,-0.036346599,-0.00325929,1.7952,1.5707999,2.7626501E-17,0.2243999,0
1.21261,0.067603603,0.00089830201,2.0195999,1.5707999,2.7626501E-17,0.22439,0
1.23569,0.204588,0.00151737,2.2439899,1.5707999,2.7626501E-17,0.2244001,0
0.84949797,0.27588499,0.00061313697,2.46839,1.5707999,2.7626501E-17,0.2244,0
0.247614,0.18374699,-0.00012217701,2.69279,1.5707999,2.7626501E-17,0.2244001,0
-0.211447,-0.168604,0.00068064698,2.9171901,1.5707999,2.7626501E-17,0.2244,0
0.0042381501,-0.87697899,0.0040139202,3.1415901,1.5707999,2.7626501E-17,0.2243998,0
0.21146099,-0.168626,0.000678638,3.3659899,1.5707999,2.7626501E-17,0.2244001,0
-0.24760801,0.183722,-0.000115217,3.59039,1.5707999,2.7626501E-17,0.2244,0
-0.84949201,0.27587199,0.00061196001,3.81479,1.5707999,2.7626501E-17,0.2243998,0
-1.23567,0.204594,0.00150817,4.0391898,1.5707999,2.7626501E-17,0.2244001,0
-1.21258,0.0676274,0.00088980101,4.2635899,1.5707999,2.7626501E-17,0.224399999999999,0
-0.75160998,-0.036323499,-0.0032583501,4.4879899,1.5707999,2.7626501E-17,0.2244,0
-0.0076250699,-0.0108902,-0.0132779,4.7123899,1.5707999,2.7626501E-17,0.2244001,0
0.75180203,0.039294399,-0.00354599,4.93679,1.5707999,2.7626501E-17,0.2244,0
1.2079999,-0.061645199,-0.000241448,5.16119,1.5707999,2.7626501E-17,0.2244001,0
1.22616,-0.201519,-0.00085597602,5.3855901,1.5707999,2.7626501E-17,0.2244,0
0.83611602,-0.27457601,-0.0028314099,5.6099901,1.5707999,2.7626501E-17,0.2244001,0
0.23232099,-0.181509,-0.0035597701,5.8343902,1.5707999,2.7626501E-17,0.2244,0
-0.22611301,0.17054901,-0.000383234,6.0587902,1.5707999,2.7626501E-17,0.2243996,0
-0.0154441,0.868025,0.0094058504,6.2831898,1.5707999,2.7626501E-17,-6.2831898,0.2244001
0.0076007801,-0.043051101,0.00737593,2.7626501E-17,1.7952,2.7626501E-17,0.224399,0
0.131938,-0.165231,0.00136029,0.224399,1.7952,2.7626501E-17,0.22440001,0
