"Velocity_average:0","Velocity_average:1","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.030438,0.04316,1,0.0535,-0.48,0.5535,0
0.030932,0.043522,1,0.054,-0.48,0.554,0
0.031426,0.043883,1,0.0545,-0.48,0.5545,0
0.03192,0.044244,1,0.055,-0.48,0.555,0
0.032414,0.044606,1,0.0555,-0.48,0.5555,0
0.032908,0.044967,1,0.056,-0.48,0.556,0
0.033402,0.045329,1,0.0565,-0.48,0.5565,0
0.033887,0.045682,1,0.057,-0.48,0.557,0
0.034268,0.045943,1,0.0575,-0.48,0.5575,0
0.034756,0.046263,1,0.058,-0.48,0.558,0
0.035244,0.046583,1,0.0585,-0.48,0.5585,0
0.035732,0.046902,1,0.059,-0.48,0.559,0
0.03622,0.047222,1,0.0595,-0.48,0.5595,0
0.036708,0.047542,1,0.06,-0.48,0.56,0
0.037196,0.047861,1,0.0605,-0.48,0.5605,0
0.037659,0.048158,1,0.061,-0.48,0.561,0
0.038047,0.048369,1,0.0615,-0.48,0.5615,0
0.038529,0.048647,1,0.062,-0.48,0.562,0
0.039011,0.048925,1,0.0625,-0.48,0.5625,0
0.039493,0.049203,1,0.063,-0.48,0.563,0
0.039975,0.049481,1,0.0635,-0.48,0.5635,0
0.040457,0.049759,1,0.064,-0.48,0.564,0
0.040939,0.050037,1,0.0645,-0.48,0.5645,0
0.041409,0.05023,1,0.065,-0.48,0.565,0
0.04164,0.050385,1,0.0655,-0.48,0.5655,0
0.041946,0.050619,1,0.066,-0.48,0.566,0
0.042251,0.050853,1,0.0665,-0.48,0.5665,0
0.042556,0.051088,1,0.067,-0.48,0.567,0
0.042862,0.051322,1,0.0675,-0.48,0.5675,0
0.043167,0.051556,1,0.068,-0.48,0.568,0
0.043472,0.05179,1,0.0685,-0.48,0.5685,0
0.043778,0.052025,1,0.069,-0.48,0.569,0
0.044062,0.05223,1,0.0695,-0.48,0.5695,0
0.044272,0.052323,1,0.07,-0.48,0.57,0
0.044568,0.05251,1,0.0705,-0.48,0.5705,0
0.044863,0.052698,1,0.071,-0.48,0.571,0
0.045159,0.052886,1,0.0715,-0.48,0.5715,0
0.045455,0.053073,1,0.072,-0.48,0.572,0
0.045751,0.053261,1,0.0725,-0.48,0.5725,0
0.046046,0.053448,1,0.073,-0.48,0.573,0
0.046342,0.053636,1,0.0735,-0.48,0.5735,0
0.046628,0.053809,1,0.074,-0.48,0.574,0
0.046816,0.05384,1,0.0745,-0.48,0.5745,0
0.047102,0.053981,1,0.075,-0.48,0.575,0
0.047388,0.054122,1,0.0755,-0.48,0.5755,0
0.047674,0.054263,1,0.076,-0.48,0.576,0
0.04796,0.054404,1,0.0765,-0.48,0.5765,0
0.048246,0.054545,1,0.077,-0.48,0.577,0
0.048532,0.054686,1,0.0775,-0.48,0.5775,0
0.048818,0.054826,1,0.078,-0.48,0.578,0
0.049104,0.054967,1,0.0785,-0.48,0.5785,0
0.049272,0.054937,1,0.079,-0.48,0.579,0
0.049548,0.055031,1,0.0795,-0.48,0.5795,0
0.049825,0.055125,1,0.08,-0.48,0.58,0
0.050101,0.055219,1,0.0805,-0.48,0.5805,0
0.050377,0.055314,1,0.081,-0.48,0.581,0
0.050654,0.055408,1,0.0815,-0.48,0.5815,0
0.05093,0.055502,1,0.082,-0.48,0.582,0
0.051207,0.055596,1,0.0825,-0.48,0.5825,0
0.051483,0.055691,1,0.083,-0.48,0.583,0
0.051641,0.055613,1,0.0835,-0.48,0.5835,0
0.051907,0.05566,1,0.084,-0.48,0.584,0
0.052174,0.055708,1,0.0845,-0.48,0.5845,0
0.05244,0.055755,1,0.085,-0.48,0.585,0
0.052707,0.055803,1,0.0855,-0.48,0.5855,0
0.052974,0.05585,1,0.086,-0.48,0.586,0
0.05324,0.055898,1,0.0865,-0.48,0.5865,0
0.053507,0.055946,1,0.087,-0.48,0.587,0
0.053773,0.055993,1,0.0875,-0.48,0.5875,0
0.054,0.055853,1,0.088,-0.48,0.588,0
0.054104,0.055827,1,0.0885,-0.48,0.5885,0
0.054218,0.055835,1,0.089,-0.48,0.589,0
0.054333,0.055843,1,0.0895,-0.48,0.5895,0
0.054447,0.055851,1,0.09,-0.48,0.59,0
0.054561,0.055859,1,0.0905,-0.48,0.5905,0
0.054676,0.055867,1,0.091,-0.48,0.591,0
0.05479,0.055875,1,0.0915,-0.48,0.5915,0
0.054904,0.055883,1,0.092,-0.48,0.592,0
0.055018,0.055891,1,0.0925,-0.48,0.5925,0
0.055109,0.055843,1,0.093,-0.48,0.593,0
0.055172,0.055735,1,0.0935,-0.48,0.5935,0
0.055264,0.055716,1,0.094,-0.48,0.594,0
0.055356,0.055696,1,0.0945,-0.48,0.5945,0
0.055448,0.055676,1,0.095,-0.48,0.595,0
0.055539,0.055657,1,0.0955,-0.48,0.5955,0
0.055631,0.055637,1,0.096,-0.48,0.596,0
0.055723,0.055617,1,0.0965,-0.48,0.5965,0
0.055815,0.055597,1,0.097,-0.48,0.597,0
0.055907,0.055578,1,0.0975,-0.48,0.5975,0
0.055999,0.055558,1,0.098,-0.48,0.598,0
0.056031,0.05541,1,0.0985,-0.48,0.5985,0
0.056094,0.055347,1,0.099,-0.48,0.599,0
0.056164,0.0553,1,0.0995,-0.48,0.5995,0
0.056233,0.055253,1,0.1,-0.48,0.6,0
0.056303,0.055205,1,0.1005,-0.48,0.6005,0
0.056372,0.055158,1,0.101,-0.48,0.601,0
0.056441,0.055111,1,0.1015,-0.48,0.6015,0
0.056511,0.055063,1,0.102,-0.48,0.602,0
0.05658,0.055016,1,0.1025,-0.48,0.6025,0
0.05665,0.054969,1,0.103,-0.48,0.603,0
0.056689,0.054863,1,0.1035,-0.48,0.6035,0
0.05671,0.05473,1,0.104,-0.48,0.604,0
0.056757,0.054655,1,0.1045,-0.48,0.6045,0
0.056804,0.05458,1,0.105,-0.48,0.605,0
0.056851,0.054505,1,0.1055,-0.48,0.6055,0
0.056898,0.05443,1,0.106,-0.48,0.606,0
0.056945,0.054355,1,0.1065,-0.48,0.6065,0
0.056992,0.05428,1,0.107,-0.48,0.607,0
0.057039,0.054205,1,0.1075,-0.48,0.6075,0
0.057086,0.05413,1,0.108,-0.48,0.608,0
0.057133,0.054055,1,0.1085,-0.48,0.6085,0
0.057112,0.053867,1,0.109,-0.48,0.609,0
0.057135,0.053761,1,0.1095,-0.48,0.6095,0
0.057159,0.053659,1,0.11,-0.48,0.61,0
0.057184,0.053556,1,0.1105,-0.48,0.6105,0
0.057209,0.053453,1,0.111,-0.48,0.611,0
0.057233,0.053351,1,0.1115,-0.48,0.6115,0
0.057258,0.053248,1,0.112,-0.48,0.612,0
0.057283,0.053146,1,0.1125,-0.48,0.6125,0
0.057307,0.053043,1,0.113,-0.48,0.613,0
0.057332,0.05294,1,0.1135,-0.48,0.6135,0
0.057391,0.0528,1,0.114,-0.48,0.614,0
0.057425,0.052632,1,0.1145,-0.48,0.6145,0
0.057445,0.052508,1,0.115,-0.48,0.615,0
0.057465,0.052385,1,0.1155,-0.48,0.6155,0
0.057486,0.052261,1,0.116,-0.48,0.616,0
0.057506,0.052137,1,0.1165,-0.48,0.6165,0
0.057526,0.052014,1,0.117,-0.48,0.617,0
0.057546,0.05189,1,0.1175,-0.48,0.6175,0
0.057567,0.051766,1,0.118,-0.48,0.618,0
0.057587,0.051642,1,0.1185,-0.48,0.6185,0
0.057607,0.051519,1,0.119,-0.48,0.619,0
0.057627,0.051395,1,0.1195,-0.48,0.6195,0
0.057645,0.051248,1,0.12,-0.48,0.62,0
0.057651,0.051097,1,0.1205,-0.48,0.6205,0
0.057642,0.050979,1,0.121,-0.48,0.621,0
0.057633,0.050862,1,0.1215,-0.48,0.6215,0
0.057624,0.050744,1,0.122,-0.48,0.622,0
0.057615,0.050626,1,0.1225,-0.48,0.6225,0
0.057606,0.050508,1,0.123,-0.48,0.623,0
0.057596,0.050391,1,0.1235,-0.48,0.6235,0
0.057587,0.050273,1,0.124,-0.48,0.624,0
0.057578,0.050155,1,0.1245,-0.48,0.6245,0
