Velocity_average:0,Points:1
1.1367,0.6655
1.1365,0.666
1.1363,0.6665
1.1361,0.667
1.1359,0.6675
1.1357,0.668
1.1355,0.6685
1.1352,0.669
1.135,0.6695
1.1348,0.67
1.1346,0.6705
1.1344,0.671
1.1342,0.6715
1.1339,0.672
1.1333,0.6725
1.1327,0.673
1.1321,0.6735
1.1315,0.674
1.1309,0.6745
1.1303,0.675
1.1297,0.6755
1.1291,0.676
1.1285,0.6765
1.1278,0.677
1.1272,0.6775
1.1266,0.678
1.1263,0.6785
1.1271,0.679
1.128,0.6795
1.129,0.68
1.1299,0.6805
1.1309,0.681
1.1318,0.6815
1.1328,0.682
1.1337,0.6825
1.1347,0.683
1.1356,0.6835
1.1366,0.684
1.1375,0.6845
1.1385,0.685
1.1394,0.6855
1.1404,0.686
1.1412,0.6865
1.1418,0.687
1.1425,0.6875
1.1432,0.688
1.144,0.6885
1.1447,0.689
1.1454,0.6895
1.1461,0.69
1.1469,0.6905
1.1476,0.691
1.1483,0.6915
1.149,0.692
1.1498,0.6925
1.1505,0.693
1.1512,0.6935
1.1519,0.694
1.1525,0.6945
1.1529,0.695
1.1534,0.6955
1.1539,0.696
1.1544,0.6965
1.1549,0.697
1.1554,0.6975
1.1559,0.698
1.1564,0.6985
1.1569,0.699
1.1574,0.6995
1.1579,0.7
1.1584,0.7005
1.1589,0.701
1.1594,0.7015
1.1599,0.702
1.1602,0.7025
1.1604,0.703
1.1607,0.7035
1.161,0.704
1.1612,0.7045
1.1615,0.705
1.1618,0.7055
1.1621,0.706
1.1623,0.7065
1.1626,0.707
1.1629,0.7075
1.1632,0.708
1.1634,0.7085
1.1637,0.709
1.164,0.7095
1.1642,0.71
1.1643,0.7105
1.1643,0.711
1.1644,0.7115
1.1644,0.712
1.1645,0.7125
1.1645,0.713
1.1646,0.7135
1.1646,0.714
1.1647,0.7145
1.1647,0.715
1.1648,0.7155
1.1648,0.716
1.1649,0.7165
1.1649,0.717
1.165,0.7175
1.165,0.718
1.1654,0.7185
1.1658,0.719
1.1661,0.7195
1.1665,0.72
1.1668,0.7205
1.1672,0.721
1.1675,0.7215
1.1679,0.722
1.1682,0.7225
1.1686,0.723
1.1689,0.7235
1.1693,0.724
1.1696,0.7245
1.17,0.725
1.1703,0.7255
1.1707,0.726
1.171,0.7265
1.1714,0.727
1.1717,0.7275
1.1719,0.728
1.1722,0.7285
1.1724,0.729
1.1726,0.7295
1.1728,0.73
1.173,0.7305
1.1732,0.731
1.1735,0.7315
1.1737,0.732
1.1739,0.7325
1.1741,0.733
1.1743,0.7335
1.1746,0.734
1.1748,0.7345
1.175,0.735
1.1752,0.7355
1.1754,0.736
1.1756,0.7365
1.1758,0.737
1.1759,0.7375
1.176,0.738
1.1761,0.7385
1.1762,0.739
1.1763,0.7395
1.1764,0.74
1.1765,0.7405
1.1765,0.741
1.1766,0.7415
1.1767,0.742
1.1768,0.7425
1.1769,0.743
1.177,0.7435
1.1771,0.744
1.1772,0.7445
1.1773,0.745
1.1774,0.7455
1.1774,0.746
1.1774,0.7465
1.1774,0.747
1.1773,0.7475
1.1773,0.748
1.1773,0.7485
1.1772,0.749
1.1772,0.7495
1.1771,0.75
1.1771,0.7505
1.1771,0.751
1.177,0.7515
1.177,0.752
1.1769,0.7525
1.1769,0.753
1.1769,0.7535
1.1768,0.754
1.1768,0.7545
1.1767,0.755
1.1766,0.7555
1.1765,0.756
1.1763,0.7565
1.1761,0.757
1.176,0.7575
1.1758,0.758
1.1756,0.7585
1.1755,0.759
1.1753,0.7595
1.1751,0.76
1.175,0.7605
1.1748,0.761
1.1746,0.7615
1.1745,0.762
1.1743,0.7625
1.1741,0.763
1.174,0.7635
1.1738,0.764
1.174,0.7645
1.1742,0.765
1.1744,0.7655
1.1746,0.766
1.1748,0.7665
1.1751,0.767
1.1753,0.7675
1.1755,0.768
1.1757,0.7685
1.1759,0.769
1.1761,0.7695
1.1763,0.77
1.1765,0.7705
1.1767,0.771
1.1769,0.7715
1.1771,0.772
1.1773,0.7725
1.1775,0.773
1.1777,0.7735
1.178,0.774
1.1782,0.7745
1.1783,0.775
1.1785,0.7755
1.1786,0.776
1.1788,0.7765
1.1789,0.777
1.1791,0.7775
1.1792,0.778
1.1794,0.7785
1.1795,0.779
1.1797,0.7795
1.1798,0.78
1.1799,0.7805
1.1801,0.781
1.1802,0.7815
1.1804,0.782
1.1805,0.7825
1.1807,0.783
1.1808,0.7835
1.181,0.784
1.1811,0.7845
1.1812,0.785
1.1814,0.7855
1.1815,0.786
1.1816,0.7865
1.1816,0.787
1.1817,0.7875
1.1818,0.788
1.1819,0.7885
1.182,0.789
1.1821,0.7895
1.1821,0.79
1.1822,0.7905
1.1823,0.791
1.1824,0.7915
1.1825,0.792
1.1826,0.7925
1.1826,0.793
1.1827,0.7935
1.1828,0.794
1.1829,0.7945
1.183,0.795
1.1831,0.7955
1.1831,0.796
1.1832,0.7965
1.1832,0.797
1.1832,0.7975
1.1832,0.798
1.1832,0.7985
1.1833,0.799
1.1833,0.7995
1.1833,0.8
1.1833,0.8005
1.1834,0.801
1.1834,0.8015
1.1834,0.802
1.1834,0.8025
1.1834,0.803
1.1835,0.8035
1.1835,0.804
1.1835,0.8045
1.1835,0.805
1.1836,0.8055
1.1836,0.806
1.1836,0.8065
1.1836,0.807
1.1835,0.8075
1.1835,0.808
1.1834,0.8085
1.1834,0.809
1.1834,0.8095
1.1833,0.81
1.1833,0.8105
1.1832,0.811
1.1832,0.8115
1.1832,0.812
1.1831,0.8125
1.1831,0.813
1.183,0.8135
1.183,0.814
1.183,0.8145
1.1829,0.815
1.1829,0.8155
1.1828,0.816
1.1828,0.8165
1.1829,0.817
1.183,0.8175
1.1831,0.818
1.1832,0.8185
1.1833,0.819
1.1834,0.8195
1.1835,0.82
1.1836,0.8205
1.1837,0.821
1.1838,0.8215
1.1839,0.822
1.1839,0.8225
1.184,0.823
1.1841,0.8235
1.1842,0.824
1.1843,0.8245
1.1844,0.825
1.1845,0.8255
1.1846,0.826
1.1847,0.8265
1.1848,0.827
1.1849,0.8275
1.185,0.828
1.1851,0.8285
1.1851,0.829
1.1852,0.8295
1.1853,0.83
1.1854,0.8305
1.1854,0.831
1.1855,0.8315
1.1856,0.832
1.1856,0.8325
1.1857,0.833
1.1858,0.8335
1.1858,0.834
1.1859,0.8345
1.186,0.835
1.186,0.8355
1.1861,0.836
1.1862,0.8365
1.1862,0.837
1.1863,0.8375
1.1864,0.838
1.1864,0.8385
1.1865,0.839
1.1866,0.8395
1.1866,0.84
