Velocity_average:0,Points:1,,Velocity_average:0,Points:1
0.97254,0.5765,,0.9592,0.5765
0.97826,0.577,,0.96492,0.577
0.98398,0.5775,,0.97064,0.5775
0.9897,0.578,,0.97636,0.578
0.99544,0.5785,,0.98208,0.5785
0.99876,0.579,,0.98544,0.579
1.00428,0.5795,,0.99096,0.5795
1.00978,0.58,,0.9965,0.58
1.0153,0.5805,,1.00202,0.5805
1.02082,0.581,,1.00754,0.581
1.02634,0.5815,,1.01308,0.5815
1.03186,0.582,,1.0186,0.582
1.03738,0.5825,,1.02414,0.5825
1.0429,0.583,,1.02966,0.583
1.04602,0.5835,,1.03282,0.5835
1.05132,0.584,,1.03814,0.584
1.05664,0.5845,,1.04348,0.5845
1.06194,0.585,,1.0488,0.585
1.06726,0.5855,,1.05414,0.5855
1.07258,0.586,,1.05948,0.586
1.0779,0.5865,,1.0648,0.5865
1.0832,0.587,,1.07014,0.587
1.08852,0.5875,,1.07546,0.5875
1.09308,0.588,,1.08,0.588
1.09508,0.5885,,1.08208,0.5885
1.09724,0.589,,1.08436,0.589
1.09942,0.5895,,1.08666,0.5895
1.1016,0.59,,1.08894,0.59
1.10378,0.5905,,1.09122,0.5905
1.10596,0.591,,1.09352,0.591
1.10814,0.5915,,1.0958,0.5915
1.11032,0.592,,1.09808,0.592
1.1125,0.5925,,1.10036,0.5925
1.11422,0.593,,1.10218,0.593
1.11538,0.5935,,1.10344,0.5935
1.1171,0.594,,1.10528,0.594
1.1188,0.5945,,1.10712,0.5945
1.12052,0.595,,1.10896,0.595
1.12224,0.5955,,1.11078,0.5955
1.12394,0.596,,1.11262,0.596
1.12566,0.5965,,1.11446,0.5965
1.12738,0.597,,1.1163,0.597
1.1291,0.5975,,1.11814,0.5975
1.1308,0.598,,1.11998,0.598
1.13134,0.5985,,1.12062,0.5985
1.13248,0.599,,1.12188,0.599
1.13372,0.5995,,1.12328,0.5995
1.13498,0.6,,1.12466,0.6
1.13622,0.6005,,1.12606,0.6005
1.13748,0.601,,1.12744,0.601
1.13872,0.6015,,1.12882,0.6015
1.13998,0.602,,1.13022,0.602
1.14122,0.6025,,1.1316,0.6025
1.14248,0.603,,1.133,0.603
1.14312,0.6035,,1.13378,0.6035
1.1434,0.604,,1.1342,0.604
1.1442,0.6045,,1.13514,0.6045
1.14498,0.605,,1.13608,0.605
1.14576,0.6055,,1.13702,0.6055
1.14656,0.606,,1.13796,0.606
1.14734,0.6065,,1.1389,0.6065
1.14812,0.607,,1.13984,0.607
1.14892,0.6075,,1.14078,0.6075
1.1497,0.608,,1.14172,0.608
1.15048,0.6085,,1.14266,0.6085
1.14992,0.609,,1.14224,0.609
1.1502,0.6095,,1.1427,0.6095
1.15052,0.61,,1.14318,0.61
1.15084,0.6105,,1.14368,0.6105
1.15118,0.611,,1.14418,0.611
1.1515,0.6115,,1.14466,0.6115
1.15182,0.612,,1.14516,0.612
1.15214,0.6125,,1.14566,0.6125
1.15246,0.613,,1.14614,0.613
1.15278,0.6135,,1.14664,0.6135
1.15378,0.614,,1.14782,0.614
1.15444,0.6145,,1.1485,0.6145
1.15478,0.615,,1.1489,0.615
1.15512,0.6155,,1.1493,0.6155
1.15546,0.616,,1.14972,0.616
1.1558,0.6165,,1.15012,0.6165
1.15612,0.617,,1.15052,0.617
1.15646,0.6175,,1.15092,0.6175
1.1568,0.618,,1.15134,0.618
1.15714,0.6185,,1.15174,0.6185
1.15748,0.619,,1.15214,0.619
1.15782,0.6195,,1.15254,0.6195
1.15812,0.62,,1.1529,0.62
1.15822,0.6205,,1.15302,0.6205
1.15794,0.621,,1.15284,0.621
1.15768,0.6215,,1.15266,0.6215
1.1574,0.622,,1.15248,0.622
1.15712,0.6225,,1.1523,0.6225
1.15686,0.623,,1.15212,0.623
1.15658,0.6235,,1.15192,0.6235
1.15632,0.624,,1.15174,0.624
1.15604,0.6245,,1.15156,0.6245
1.15578,0.625,,1.15138,0.625
1.1555,0.6255,,1.1512,0.6255
1.15524,0.626,,1.15098,0.626
1.15476,0.6265,,1.15058,0.6265
1.15388,0.627,,1.14982,0.627
1.153,0.6275,,1.14904,0.6275
1.15214,0.628,,1.14826,0.628
1.15126,0.6285,,1.1475,0.6285
1.15038,0.629,,1.14672,0.629
1.1495,0.6295,,1.14596,0.6295
1.14862,0.63,,1.14518,0.63
1.14774,0.6305,,1.14442,0.6305
1.14686,0.631,,1.14364,0.631
1.14598,0.6315,,1.14288,0.6315
1.14512,0.632,,1.1421,0.632
1.1441,0.6325,,1.14116,0.6325
1.14262,0.633,,1.1398,0.633
1.14114,0.6335,,1.13844,0.6335
1.13964,0.634,,1.13708,0.634
1.13816,0.6345,,1.13572,0.6345
1.13668,0.635,,1.13436,0.635
1.1352,0.6355,,1.133,0.6355
1.1337,0.636,,1.13164,0.636
1.13222,0.6365,,1.1303,0.6365
1.13074,0.637,,1.12894,0.637
1.12924,0.6375,,1.12758,0.6375
1.12782,0.638,,1.12624,0.638
1.12624,0.6385,,1.12476,0.6385
1.12414,0.639,,1.12282,0.639
1.12204,0.6395,,1.12088,0.6395
1.11996,0.64,,1.11892,0.64
1.11786,0.6405,,1.11698,0.6405
1.11576,0.641,,1.11504,0.641
1.11368,0.6415,,1.11308,0.6415
1.11158,0.642,,1.11114,0.642
1.10948,0.6425,,1.1092,0.6425
1.1074,0.643,,1.10724,0.643
1.1053,0.6435,,1.1053,0.6435
1.1029,0.644,,1.10308,0.644
1.10404,0.6445,,1.1042,0.6445
1.10496,0.645,,1.10508,0.645
1.10588,0.6455,,1.10598,0.6455
1.1068,0.646,,1.10686,0.646
1.10772,0.6465,,1.10774,0.6465
1.10864,0.647,,1.10864,0.647
1.10956,0.6475,,1.10952,0.6475
1.11046,0.648,,1.11042,0.648
1.11138,0.6485,,1.1113,0.6485
1.1123,0.649,,1.11218,0.649
1.11322,0.6495,,1.11308,0.6495
1.11414,0.65,,1.11396,0.65
1.11506,0.6505,,1.11486,0.6505
1.1159,0.651,,1.11568,0.651
1.11664,0.6515,,1.1164,0.6515
1.11718,0.652,,1.1169,0.652
1.11772,0.6525,,1.1174,0.6525
1.11824,0.653,,1.1179,0.653
1.11878,0.6535,,1.11842,0.6535
1.1193,0.654,,1.11892,0.654
1.11984,0.6545,,1.11942,0.6545
1.12038,0.655,,1.11994,0.655
1.1209,0.6555,,1.12044,0.6555
1.12144,0.656,,1.12094,0.656
1.12198,0.6565,,1.12144,0.6565
1.1225,0.657,,1.12196,0.657
1.12304,0.6575,,1.12246,0.6575
1.1235,0.658,,1.1229,0.658
1.12382,0.6585,,1.1232,0.6585
1.12396,0.659,,1.12332,0.659
1.12412,0.6595,,1.12344,0.6595
1.12426,0.66,,1.12356,0.66
1.1244,0.6605,,1.1237,0.6605
1.12456,0.661,,1.12382,0.661
1.1247,0.6615,,1.12394,0.6615
1.12486,0.662,,1.12406,0.662
1.125,0.6625,,1.12418,0.6625
1.12514,0.663,,1.1243,0.663
1.1253,0.6635,,1.12442,0.6635
1.12544,0.664,,1.12456,0.664
1.12558,0.6645,,1.12468,0.6645
1.12568,0.665,,1.12474,0.665
1.12556,0.6655,,1.12462,0.6655
1.12532,0.666,,1.12436,0.666
1.12508,0.6665,,1.1241,0.6665
1.12484,0.667,,1.12384,0.667
1.1246,0.6675,,1.12358,0.6675
1.12438,0.668,,1.12332,0.668
1.12414,0.6685,,1.12306,0.6685
1.1239,0.669,,1.1228,0.669
1.12366,0.6695,,1.12254,0.6695
1.12342,0.67,,1.12228,0.67
1.12318,0.6705,,1.12202,0.6705
1.12294,0.671,,1.12176,0.671
1.1227,0.6715,,1.1215,0.6715
1.12242,0.672,,1.1212,0.672
1.12188,0.6725,,1.12064,0.6725
1.12124,0.673,,1.12,0.673
1.12062,0.6735,,1.11936,0.6735
1.12,0.674,,1.11872,0.674
1.11938,0.6745,,1.11806,0.6745
1.11876,0.675,,1.11742,0.675
1.11814,0.6755,,1.11678,0.6755
1.1175,0.676,,1.11614,0.676
1.11688,0.6765,,1.1155,0.6765
1.11626,0.677,,1.11486,0.677
1.11564,0.6775,,1.11422,0.6775
1.11502,0.678,,1.11358,0.678
1.1146,0.6785,,1.11308,0.6785
1.11546,0.679,,1.11396,0.679
1.1164,0.6795,,1.1149,0.6795
1.11736,0.68,,1.11588,0.68
1.11832,0.6805,,1.11684,0.6805
1.11928,0.681,,1.11782,0.681
1.12024,0.6815,,1.11878,0.6815
1.1212,0.682,,1.11974,0.682
