Velocity_average:0,Points:1,,Velocity_average:0,Points:1
1.18038,0.844,,1.18466,0.844
1.18042,0.8445,,1.18472,0.8445
1.18048,0.845,,1.18478,0.845
1.18052,0.8455,,1.18482,0.8455
1.18058,0.846,,1.18488,0.846
1.18062,0.8465,,1.18494,0.8465
1.18068,0.847,,1.18498,0.847
1.18072,0.8475,,1.18504,0.8475
1.18078,0.848,,1.1851,0.848
1.18082,0.8485,,1.18516,0.8485
1.18088,0.849,,1.1852,0.849
1.18092,0.8495,,1.18526,0.8495
1.18098,0.85,,1.18532,0.85
1.18102,0.8505,,1.18536,0.8505
1.18106,0.851,,1.18542,0.851
1.18112,0.8515,,1.18548,0.8515
1.18116,0.852,,1.18552,0.852
1.18122,0.8525,,1.18558,0.8525
1.18126,0.853,,1.18562,0.853
1.1813,0.8535,,1.18566,0.8535
1.18132,0.854,,1.1857,0.854
1.18134,0.8545,,1.18572,0.8545
1.18136,0.855,,1.18574,0.855
1.18138,0.8555,,1.18576,0.8555
1.18138,0.856,,1.18578,0.856
1.1814,0.8565,,1.18578,0.8565
1.18142,0.857,,1.1858,0.857
1.18144,0.8575,,1.18582,0.8575
1.18146,0.858,,1.18584,0.858
1.18148,0.8585,,1.18586,0.8585
1.18148,0.859,,1.18588,0.859
1.1815,0.8595,,1.1859,0.8595
1.18152,0.86,,1.18592,0.86
1.18154,0.8605,,1.18594,0.8605
1.18156,0.861,,1.18596,0.861
1.18156,0.8615,,1.18598,0.8615
1.18158,0.862,,1.18598,0.862
1.1816,0.8625,,1.186,0.8625
1.18162,0.863,,1.18602,0.863
1.18164,0.8635,,1.18604,0.8635
1.18164,0.864,,1.18606,0.864
1.18166,0.8645,,1.18608,0.8645
1.18168,0.865,,1.1861,0.865
1.18168,0.8655,,1.1861,0.8655
1.18168,0.866,,1.1861,0.866
1.18166,0.8665,,1.18608,0.8665
1.18164,0.867,,1.18606,0.867
1.18162,0.8675,,1.18604,0.8675
1.18162,0.868,,1.18602,0.868
1.1816,0.8685,,1.186,0.8685
1.18158,0.869,,1.186,0.869
1.18156,0.8695,,1.18598,0.8695
1.18154,0.87,,1.18596,0.87
1.18152,0.8705,,1.18594,0.8705
1.1815,0.871,,1.18592,0.871
1.18148,0.8715,,1.1859,0.8715
1.18148,0.872,,1.18588,0.872
1.18146,0.8725,,1.18586,0.8725
1.18144,0.873,,1.18584,0.873
1.18142,0.8735,,1.18584,0.8735
1.1814,0.874,,1.18582,0.874
1.18138,0.8745,,1.1858,0.8745
1.18136,0.875,,1.18578,0.875
1.18136,0.8755,,1.18576,0.8755
1.18134,0.876,,1.18574,0.876
1.18132,0.8765,,1.18572,0.8765
1.18124,0.877,,1.18566,0.877
1.1813,0.8775,,1.1857,0.8775
1.18134,0.878,,1.18576,0.878
1.18136,0.8785,,1.18578,0.8785
1.1814,0.879,,1.18582,0.879
1.18142,0.8795,,1.18584,0.8795
1.18146,0.88,,1.18588,0.88
1.18148,0.8805,,1.1859,0.8805
1.1815,0.881,,1.18592,0.881
1.18154,0.8815,,1.18596,0.8815
1.18156,0.882,,1.18598,0.882
1.1816,0.8825,,1.18602,0.8825
1.18162,0.883,,1.18604,0.883
1.18166,0.8835,,1.18608,0.8835
1.18168,0.884,,1.1861,0.884
1.1817,0.8845,,1.18614,0.8845
1.18174,0.885,,1.18616,0.885
1.18176,0.8855,,1.18618,0.8855
1.1818,0.886,,1.18622,0.886
1.18182,0.8865,,1.18624,0.8865
1.18184,0.887,,1.18628,0.887
1.18188,0.8875,,1.1863,0.8875
1.1819,0.888,,1.18634,0.888
1.18194,0.8885,,1.18636,0.8885
1.18196,0.889,,1.1864,0.889
1.182,0.8895,,1.18642,0.8895
1.18202,0.89,,1.18646,0.89
1.18204,0.8905,,1.18648,0.8905
1.18208,0.891,,1.18652,0.891
1.18212,0.8915,,1.18654,0.8915
1.18216,0.892,,1.18658,0.892
1.18218,0.8925,,1.1866,0.8925
1.1822,0.893,,1.18662,0.893
1.18222,0.8935,,1.18664,0.8935
1.18224,0.894,,1.18666,0.894
1.18226,0.8945,,1.1867,0.8945
1.18228,0.895,,1.18672,0.895
1.1823,0.8955,,1.18674,0.8955
1.18232,0.896,,1.18676,0.896
1.18234,0.8965,,1.18678,0.8965
1.18236,0.897,,1.1868,0.897
1.18238,0.8975,,1.18682,0.8975
1.1824,0.898,,1.18684,0.898
1.18242,0.8985,,1.18686,0.8985
1.18244,0.899,,1.18688,0.899
1.18246,0.8995,,1.1869,0.8995
1.18248,0.9,,1.18692,0.9
1.1825,0.9005,,1.18694,0.9005
1.18252,0.901,,1.18696,0.901
1.18254,0.9015,,1.18698,0.9015
1.18256,0.902,,1.187,0.902
1.1826,0.9025,,1.18702,0.9025
1.18262,0.903,,1.18704,0.903
1.18264,0.9035,,1.18706,0.9035
1.18266,0.904,,1.18708,0.904
1.18268,0.9045,,1.1871,0.9045
1.1827,0.905,,1.18714,0.905
1.18272,0.9055,,1.18716,0.9055
1.18276,0.906,,1.18718,0.906
1.18276,0.9065,,1.1872,0.9065
1.18278,0.907,,1.18722,0.907
1.1828,0.9075,,1.18722,0.9075
1.1828,0.908,,1.18724,0.908
1.18282,0.9085,,1.18726,0.9085
1.18284,0.909,,1.18726,0.909
1.18284,0.9095,,1.18728,0.9095
1.18286,0.91,,1.18728,0.91
1.18288,0.9105,,1.1873,0.9105
1.18288,0.911,,1.18732,0.911
1.1829,0.9115,,1.18732,0.9115
1.18292,0.912,,1.18734,0.912
1.18292,0.9125,,1.18736,0.9125
1.18294,0.913,,1.18736,0.913
1.18296,0.9135,,1.18738,0.9135
1.18296,0.914,,1.18738,0.914
1.18298,0.9145,,1.1874,0.9145
1.183,0.915,,1.18742,0.915
1.183,0.9155,,1.18742,0.9155
1.18302,0.916,,1.18744,0.916
1.18304,0.9165,,1.18746,0.9165
1.18304,0.917,,1.18746,0.917
1.18306,0.9175,,1.18748,0.9175
1.18308,0.918,,1.18748,0.918
1.18308,0.9185,,1.1875,0.9185
1.1831,0.919,,1.18752,0.919
1.18314,0.9195,,1.18754,0.9195
1.18314,0.92,,1.18756,0.92
1.18316,0.9205,,1.18756,0.9205
1.18316,0.921,,1.18756,0.921
1.18316,0.9215,,1.18758,0.9215
1.18318,0.922,,1.18758,0.922
1.18318,0.9225,,1.18758,0.9225
1.18318,0.923,,1.18758,0.923
1.18318,0.9235,,1.18758,0.9235
1.1832,0.924,,1.1876,0.924
1.1832,0.9245,,1.1876,0.9245
1.1832,0.925,,1.1876,0.925
1.18322,0.9255,,1.1876,0.9255
1.18322,0.926,,1.1876,0.926
1.18322,0.9265,,1.18762,0.9265
1.18322,0.927,,1.18762,0.927
1.18324,0.9275,,1.18762,0.9275
1.18324,0.928,,1.18762,0.928
1.18324,0.9285,,1.18764,0.9285
1.18326,0.929,,1.18764,0.929
1.18326,0.9295,,1.18764,0.9295
1.18326,0.93,,1.18764,0.93
1.18326,0.9305,,1.18764,0.9305
1.18328,0.931,,1.18766,0.931
1.18328,0.9315,,1.18766,0.9315
1.18328,0.932,,1.18766,0.932
1.1833,0.9325,,1.18766,0.9325
1.1833,0.933,,1.18768,0.933
1.18332,0.9335,,1.1877,0.9335
1.18332,0.934,,1.1877,0.934
1.18332,0.9345,,1.1877,0.9345
1.18332,0.935,,1.18768,0.935
1.18332,0.9355,,1.18768,0.9355
1.18332,0.936,,1.18768,0.936
1.18332,0.9365,,1.18768,0.9365
1.18332,0.937,,1.18768,0.937
1.18332,0.9375,,1.18766,0.9375
1.18332,0.938,,1.18766,0.938
1.18332,0.9385,,1.18766,0.9385
1.1833,0.939,,1.18766,0.939
1.1833,0.9395,,1.18766,0.9395
1.1833,0.94,,1.18764,0.94
1.1833,0.9405,,1.18764,0.9405
1.1833,0.941,,1.18764,0.941
1.1833,0.9415,,1.18764,0.9415
1.1833,0.942,,1.18764,0.942
1.1833,0.9425,,1.18762,0.9425
1.1833,0.943,,1.18762,0.943
1.1833,0.9435,,1.18762,0.9435
1.1833,0.944,,1.18762,0.944
1.18328,0.9445,,1.18762,0.9445
1.18328,0.945,,1.1876,0.945
1.18328,0.9455,,1.1876,0.9455
1.18328,0.946,,1.1876,0.946
1.18324,0.9465,,1.18754,0.9465
1.18322,0.947,,1.18754,0.947
1.18322,0.9475,,1.18752,0.9475
1.1832,0.948,,1.18752,0.948
1.18318,0.9485,,1.1875,0.9485
1.18316,0.949,,1.18748,0.949
1.18314,0.9495,,1.18746,0.9495
1.18312,0.95,,1.18744,0.95
1.1831,0.9505,,1.18742,0.9505
1.18308,0.951,,1.1874,0.951
1.18306,0.9515,,1.18738,0.9515
1.18304,0.952,,1.18736,0.952
1.18302,0.9525,,1.18734,0.9525
1.183,0.953,,1.18732,0.953
1.18298,0.9535,,1.1873,0.9535
1.18296,0.954,,1.18728,0.954
1.18294,0.9545,,1.18726,0.9545
1.18292,0.955,,1.18724,0.955
1.1829,0.9555,,1.18722,0.9555
1.18288,0.956,,1.1872,0.956
1.18286,0.9565,,1.18718,0.9565
1.18284,0.957,,1.18716,0.957
1.18282,0.9575,,1.18714,0.9575
1.1828,0.958,,1.18712,0.958
1.18278,0.9585,,1.1871,0.9585
1.18276,0.959,,1.18708,0.959
1.18276,0.9595,,1.18706,0.9595
1.18274,0.96,,1.18704,0.96
1.18272,0.9605,,1.18702,0.9605
1.1827,0.961,,1.187,0.961
1.18268,0.9615,,1.18698,0.9615
1.18266,0.962,,1.18696,0.962
1.18264,0.9625,,1.18694,0.9625
1.18264,0.963,,1.18694,0.963
1.18262,0.9635,,1.18694,0.9635
1.18262,0.964,,1.18692,0.964
1.1826,0.9645,,1.1869,0.9645
1.18258,0.965,,1.18688,0.965
1.18256,0.9655,,1.18686,0.9655
1.18254,0.966,,1.18686,0.966
1.18252,0.9665,,1.18684,0.9665
1.18252,0.967,,1.18682,0.967
1.1825,0.9675,,1.1868,0.9675
1.18248,0.968,,1.18678,0.968
1.18246,0.9685,,1.18676,0.9685
1.18244,0.969,,1.18674,0.969
1.18242,0.9695,,1.18672,0.9695
1.1824,0.97,,1.1867,0.97
1.1824,0.9705,,1.18668,0.9705
1.18238,0.971,,1.18668,0.971
1.18236,0.9715,,1.18666,0.9715
1.18234,0.972,,1.18664,0.972
1.18232,0.9725,,1.18662,0.9725
1.1823,0.973,,1.1866,0.973
1.18228,0.9735,,1.18658,0.9735
1.18226,0.974,,1.18656,0.974
1.18226,0.9745,,1.18654,0.9745
1.18224,0.975,,1.18652,0.975
1.18222,0.9755,,1.18652,0.9755
1.1822,0.976,,1.1865,0.976
1.18218,0.9765,,1.18648,0.9765
1.18216,0.977,,1.18646,0.977
1.18214,0.9775,,1.18644,0.9775
1.18214,0.978,,1.18642,0.978
1.18212,0.9785,,1.1864,0.9785
1.18212,0.979,,1.1864,0.979
1.18212,0.9795,,1.1864,0.9795
1.1821,0.98,,1.1864,0.98
1.18208,0.9805,,1.18638,0.9805
1.18208,0.981,,1.18636,0.981
1.18206,0.9815,,1.18634,0.9815
1.18204,0.982,,1.18632,0.982
1.18202,0.9825,,1.1863,0.9825
1.18202,0.983,,1.1863,0.983
1.182,0.9835,,1.18628,0.9835
1.18198,0.984,,1.18626,0.984
1.18198,0.9845,,1.18624,0.9845
1.18196,0.985,,1.18622,0.985
1.18194,0.9855,,1.18622,0.9855
1.18192,0.986,,1.1862,0.986
1.18192,0.9865,,1.18618,0.9865
1.1819,0.987,,1.18616,0.987
1.18188,0.9875,,1.18614,0.9875
1.18186,0.988,,1.18614,0.988
1.18186,0.9885,,1.18612,0.9885
1.18184,0.989,,1.1861,0.989
1.18182,0.9895,,1.18608,0.9895
1.1818,0.99,,1.18606,0.99
1.1818,0.9905,,1.18606,0.9905
1.18178,0.991,,1.18604,0.991
1.18176,0.9915,,1.18602,0.9915
1.18174,0.992,,1.186,0.992
1.18174,0.9925,,1.18598,0.9925
1.18172,0.993,,1.18598,0.993
1.1817,0.9935,,1.18596,0.9935
1.18168,0.994,,1.18594,0.994
1.18168,0.9945,,1.18592,0.9945
1.18168,0.995,,1.18592,0.995
1.18168,0.9955,,1.18592,0.9955
1.18168,0.996,,1.18592,0.996
1.18166,0.9965,,1.1859,0.9965
1.18164,0.997,,1.18588,0.997
1.18164,0.9975,,1.18588,0.9975
1.18162,0.998,,1.18586,0.998
1.1816,0.9985,,1.18584,0.9985
1.1816,0.999,,1.18582,0.999
1.18158,0.9995,,1.18582,0.9995
1.18158,1,,1.1858,1
