"Density","Pressure","Velocity:0","Velocity:1","Vorticity","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.003,100.3,2.773e-06,-1.5257e-06,0.0010263,1,0,-1.3642e-18,3.1416,0
1.003,100.3,-0.0059408,-6.0039e-07,0.00084956,1,0.0062832,0.0062832,3.1416,0
1.003,100.3,-0.011884,3.2655e-07,0.0006729,1,0.012566,0.012566,3.1416,0
1.003,100.3,-0.017828,1.2535e-06,0.00049624,1,0.01885,0.01885,3.1416,0
1.003,100.3,-0.023771,2.1804e-06,0.00031958,1,0.025133,0.025133,3.1416,0
1.003,100.3,-0.029714,2.9137e-06,0.00015841,1,0.031416,0.031416,3.1416,0
1.003,100.3,-0.035653,2.8521e-06,6.2883e-05,1,0.037699,0.037699,3.1416,0
1.003,100.3,-0.041592,2.7905e-06,-3.2645e-05,1,0.043982,0.043982,3.1416,0
1.003,100.3,-0.047532,2.7289e-06,-0.00012817,1,0.050266,0.050266,3.1416,0
1.003,100.3,-0.053471,2.6673e-06,-0.0002237,1,0.056549,0.056549,3.1416,0
1.003,100.3,-0.059406,2.6314e-06,-0.00025292,1,0.062832,0.062832,3.1416,0
1.003,100.3,-0.065334,2.6523e-06,-0.00017555,1,0.069115,0.069115,3.1416,0
1.003,100.3,-0.071262,2.6731e-06,-9.8186e-05,1,0.075398,0.075398,3.1416,0
1.003,100.3,-0.07719,2.694e-06,-2.0818e-05,1,0.081681,0.081681,3.1416,0
1.003,100.3,-0.083118,2.7149e-06,5.6549e-05,1,0.087965,0.087965,3.1416,0
1.0029,100.29,-0.089038,2.6936e-06,0.00012264,1,0.094248,0.094248,3.1416,0
1.0029,100.29,-0.094952,2.6558e-06,0.00018078,1,0.10053,0.10053,3.1416,0
1.0029,100.29,-0.10087,2.618e-06,0.00023892,1,0.10681,0.10681,3.1416,0
1.0029,100.29,-0.10678,2.5803e-06,0.00029706,1,0.1131,0.1131,3.1416,0
1.0029,100.29,-0.11269,2.5425e-06,0.0003552,1,0.11938,0.11938,3.1416,0
1.0029,100.29,-0.11859,2.5584e-06,0.00026355,1,0.12566,0.12566,3.1416,0
1.0029,100.29,-0.12449,2.6046e-06,0.00012711,1,0.13195,0.13195,3.1416,0
1.0029,100.29,-0.13038,2.6508e-06,-9.3325e-06,1,0.13823,0.13823,3.1416,0
1.0029,100.29,-0.13628,2.6969e-06,-0.00014577,1,0.14451,0.14451,3.1416,0
1.0029,100.29,-0.14218,2.7431e-06,-0.00028221,1,0.1508,0.1508,3.1416,0
1.0029,100.29,-0.14805,2.7655e-06,-0.00031864,1,0.15708,0.15708,3.1416,0
1.0029,100.29,-0.15392,2.8007e-06,-0.00035092,1,0.16336,0.16336,3.1416,0
1.0029,100.29,-0.15979,2.8359e-06,-0.00038321,1,0.16965,0.16965,3.1416,0
1.0029,100.29,-0.16566,2.8711e-06,-0.00041549,1,0.17593,0.17593,3.1416,0
1.0028,100.28,-0.17153,2.8715e-06,-0.00041477,1,0.18221,0.18221,3.1416,0
1.0028,100.28,-0.17737,2.7818e-06,-0.00023097,1,0.1885,0.1885,3.1416,0
1.0028,100.28,-0.18321,2.692e-06,-4.7169e-05,1,0.19478,0.19478,3.1416,0
1.0028,100.28,-0.18905,2.6022e-06,0.00013663,1,0.20106,0.20106,3.1416,0
1.0028,100.28,-0.19489,2.5125e-06,0.00032043,1,0.20735,0.20735,3.1416,0
1.0028,100.28,-0.20071,2.4231e-06,0.00044908,1,0.21363,0.21363,3.1416,0
