Density,Pressure,Velocity:0,Velocity:1,Vorticity,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
1.0024923,100.24922,-0.0000024076583,0.35396183,-0.000037544967,1,0.35185862,3.1415927,0.35185862,0
1.0024768,100.24768,-0.0000023295593,0.36003843,-0.000037338312,1,0.35814181,3.1415927,0.35814181,0
1.0024592,100.24592,-0.0000023232569,0.36597338,-0.000035515717,1,0.364425,3.1415927,0.364425,0
1.0024416,100.24416,-0.0000023169546,0.37190837,-0.000033693126,1,0.3707082,3.1415927,0.3707082,0
1.002424,100.2424,-0.000002310652,0.37784335,-0.000031870532,1,0.37699139,3.1415927,0.37699139,0
1.0024064,100.24064,-0.0000023043497,0.38377833,-0.000030047941,1,0.38327459,3.1415927,0.38327459,0
1.0023888,100.23888,-0.0000022980473,0.38971332,-0.000028225348,1,0.38955778,3.1415927,0.38955778,0
1.0023712,100.23712,-0.0000022917447,0.39564827,-0.000026402762,1,0.39584094,3.1415927,0.39584094,0
1.0023535,100.23536,-0.0000022854424,0.40158325,-0.000024580169,1,0.40212414,3.1415927,0.40212414,0
1.002336,100.2336,-0.0000022791401,0.40751824,-0.000022757577,1,0.40840733,3.1415927,0.40840733,0
1.0023184,100.23183,-0.0000022728375,0.41345322,-0.000020934984,1,0.41469052,3.1415927,0.41469052,0
1.0023007,100.23008,-0.0000022665351,0.4193882,-0.000019112391,1,0.42097372,3.1415927,0.42097372,0
1.0022832,100.22832,-0.0000022602328,0.42532316,-0.000017289798,1,0.42725691,3.1415927,0.42725691,0
1.0022641,100.22641,-0.0000021818703,0.43108952,-0.000015240083,1,0.43354011,3.1415927,0.43354011,0
1.0022448,100.22448,-0.0000021877668,0.43681836,-0.000012734015,1,0.43982327,3.1415927,0.43982327,0
1.0022254,100.22254,-0.0000021936632,0.44254723,-0.000010227937,1,0.44610646,3.1415927,0.44610646,0
1.0022061,100.2206,-0.0000021995597,0.44827613,-0.0000077218583,1,0.45238966,3.1415927,0.45238966,0
1.0021868,100.21867,-0.0000022054562,0.454005,-0.0000052157802,1,0.45867285,3.1415927,0.45867285,0
1.0021673,100.21674,-0.0000022113529,0.45973387,-0.0000027097014,1,0.46495605,3.1415927,0.46495605,0
1.002148,100.2148,-0.0000022172494,0.46546277,-0.0000002036229,1,0.47123924,3.1415927,0.47123924,0
1.0021287,100.21286,-0.0000022231459,0.47119164,0.0000023024556,1,0.47752243,3.1415927,0.47752243,0
1.0021093,100.21093,-0.0000022290424,0.47692052,0.0000048085344,1,0.48380563,3.1415927,0.48380563,0
1.00209,100.20899,-0.0000022349388,0.48264939,0.0000073146007,1,0.49008879,3.1415927,0.49008879,0
1.0020707,100.20705,-0.0000022408353,0.48837826,0.0000098206792,1,0.49637198,3.1415927,0.49637198,0
1.0020509,100.20508,-0.0000021534827,0.49399886,0.000011522912,1,0.50265521,3.1415927,0.50265521,0
