Velocity:0,Velocity:1,Points:0,Points:1,Points:2,
9.9115397E-19,-0.117507,-9.9967403E-19,3.0237801,0,0
9.9498899E-19,-0.078489199,-9.9967403E-19,3.06305,0,0
9.9729403E-19,-0.0393201,-9.9967403E-19,3.10232,0,0
9.9806899E-19,2.06822E-13,-9.9967403E-19,3.1415901,0,0
9.9729403E-19,0.0393201,-9.9967403E-19,3.18086,0,0
9.9498899E-19,0.078489199,-9.9967403E-19,3.22013,0,0
9.9115397E-19,0.117507,-9.9967403E-19,3.2593999,0,0
9.8578805E-19,0.15637399,-9.9967403E-19,3.2986701,0,0
9.7889102E-19,0.19509,-9.9967403E-19,3.33794,0,0
9.7047497E-19,0.233504,-9.9967403E-19,3.3772099,0,0
9.6058799E-19,0.271469,-9.9967403E-19,3.4164801,0,0
9.4922904E-19,0.308988,-9.9967403E-19,3.45575,0,0
9.3639803E-19,0.34605899,-9.9967403E-19,3.4950199,0,0
9.2209504E-19,0.38268301,-9.9967403E-19,3.5342901,0,0
9.0636196E-19,0.41871399,-9.9967403E-19,3.57356,0,0
8.8927199E-19,0.45401701,-9.9967403E-19,3.6128299,0,0
8.7082504E-19,0.48859501,-9.9967403E-19,3.6521001,0,0
8.5102301E-19,0.52244598,-9.9967403E-19,3.69137,0,0
8.2986399E-19,0.55557001,-9.9967403E-19,3.7306399,0,0
8.0741699E-19,0.58783299,-9.9967403E-19,3.7699101,0,0
7.8378098E-19,0.61911702,-9.9967403E-19,3.80918,0,0
7.5895698E-19,0.64942503,-9.9967403E-19,3.8484499,0,0
7.3294298E-19,0.67875499,-9.9967403E-19,3.8877201,0,0
7.0574099E-19,0.70710701,-9.9967403E-19,3.92699,0,0
6.7744402E-19,0.73436201,-9.9967403E-19,3.96626,0,0
6.4817102E-19,0.76042497,-9.9967403E-19,4.0055299,0,0
6.1792201E-19,0.78529799,-9.9967403E-19,4.0447998,0,0
5.8669698E-19,0.80897897,-9.9967403E-19,4.0840702,0,0
5.5449701E-19,0.83147001,-9.9967403E-19,4.1233401,0,0
5.2143698E-19,0.852669,-9.9967403E-19,4.1626101,0,0
4.8765099E-19,0.87251002,-9.9967403E-19,4.20188,0,0
4.5313998E-19,0.89099199,-9.9967403E-19,4.2411499,0,0
4.1790501E-19,0.90811503,-9.9967403E-19,4.2804198,0,0
3.81944E-19,0.92387998,-9.9967403E-19,4.3196902,0,0
3.45391E-19,0.93821001,-9.9967403E-19,4.3589602,0,0
3.08391E-19,0.951065,-9.9967403E-19,4.3982301,0,0
2.70945E-19,0.96244699,-9.9967403E-19,4.4375,0,0
2.3305299E-19,0.97235298,-9.9967403E-19,4.4767699,0,0
1.94714E-19,0.98078501,-9.9967403E-19,4.5160398,0,0
1.56072E-19,0.98769498,-9.9967403E-19,4.5553098,0,0
1.1727999E-19,0.99307197,-9.9967403E-19,4.5945802,0,0
7.8337597E-20,0.99691498,-9.9967403E-19,4.6338501,0,0
3.9244201E-20,0.99922401,-9.9967403E-19,4.67312,0,0
-3.1007799E-31,1,-9.9967403E-19,4.7123899,0,0
-3.9244201E-20,0.99922401,-9.9967403E-19,4.7516599,0,0
-7.8337597E-20,0.99691498,-9.9967403E-19,4.7909298,0,0
-1.1727999E-19,0.99307197,-9.9967403E-19,4.8302002,0,0
-1.56072E-19,0.98769498,-9.9967403E-19,4.8694701,0,0
-1.94714E-19,0.98078501,-9.9967403E-19,4.90874,0,0
-2.3305299E-19,0.97235298,-9.9967403E-19,4.94801,0,0
-2.70945E-19,0.96244699,-9.9967403E-19,4.9872799,0,0
-3.08391E-19,0.951065,-9.9967403E-19,5.0265498,0,0
-3.45391E-19,0.93821001,-9.9967403E-19,5.0658202,0,0
-3.81944E-19,0.92387998,-9.9967403E-19,5.1050901,0,0
-4.1790501E-19,0.90811503,-9.9967403E-19,5.1443601,0,0
-4.5313998E-19,0.89099199,-9.9967403E-19,5.18363,0,0
-4.8765099E-19,0.87251002,-9.9967403E-19,5.2228999,0,0
-5.2143698E-19,0.852669,-9.9967403E-19,5.2621698,0,0
-5.5449701E-19,0.83147001,-9.9967403E-19,5.3014398,0,0
-5.8669698E-19,0.80897897,-9.9967403E-19,5.3407102,0,0
-6.1792201E-19,0.78529799,-9.9967403E-19,5.3799801,0,0
-6.4817102E-19,0.76042497,-9.9967403E-19,5.41925,0,0
-6.7744402E-19,0.73436201,-9.9967403E-19,5.4585199,0,0
-7.0574099E-19,0.70710701,-9.9967403E-19,5.4977899,0,0
-7.3294298E-19,0.67875499,-9.9967403E-19,5.5370598,0,0
-7.5895698E-19,0.64942503,-9.9967403E-19,5.5763302,0,0
-7.8378098E-19,0.61911702,-9.9967403E-19,5.6156001,0,0
