"Density","Pressure","Velocity:0","Velocity:1","Vorticity","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0022665,100.22665,0.43104851,-2.6292003e-06,-6.4176827e-05,1,3.575135,3.575135,3.1415927,0
1.0022469,100.22468,0.43681225,-2.6136031e-06,-6.0796971e-05,1,3.5814183,3.5814183,3.1415927,0
1.0022271,100.2227,0.44257578,-2.5980066e-06,-5.7417245e-05,1,3.5877013,3.5877013,3.1415927,0
1.0022073,100.22073,0.44833952,-2.5824095e-06,-5.4037388e-05,1,3.5939846,3.5939846,3.1415927,0
1.0021875,100.21875,0.45410305,-2.566813e-06,-5.0657662e-05,1,3.6002676,3.6002676,3.1415927,0
1.0021677,100.21677,0.45986682,-2.5512159e-06,-4.7277805e-05,1,3.6065509,3.6065509,3.1415927,0
1.002148,100.2148,0.46563056,-2.5356187e-06,-4.3897948e-05,1,3.6128342,3.6128342,3.1415927,0
1.0021282,100.21282,0.47139409,-2.5200222e-06,-4.0518222e-05,1,3.6191173,3.6191173,3.1415927,0
1.0021085,100.21085,0.47714251,-2.4237677e-06,-3.5890589e-05,1,3.6254005,3.6254005,3.1415927,0
1.0020887,100.20887,0.48270994,-2.3509531e-06,-1.99266e-05,1,3.6316836,3.6316836,3.1415927,0
1.002069,100.20689,0.48827755,-2.2781358e-06,-3.9620054e-06,1,3.6379669,3.6379669,3.1415927,0
1.0020492,100.20492,0.49384516,-2.2053187e-06,1.2002589e-05,1,3.6442502,3.6442502,3.1415927,0
1.0020294,100.20294,0.4994126,-2.1325041e-06,2.7966578e-05,1,3.6505332,3.6505332,3.1415927,0
1.0020096,100.20097,0.50498021,-2.0596867e-06,4.3931173e-05,1,3.6568165,3.6568165,3.1415927,0
1.0019898,100.19899,0.51054764,-1.9868723e-06,5.9895163e-05,1,3.6630995,3.6630995,3.1415927,0
1.0019702,100.19701,0.51611525,-1.914055e-06,7.585976e-05,1,3.6693828,3.6693828,3.1415927,0
1.0019504,100.19504,0.52168286,-1.8412377e-06,9.1824353e-05,1,3.6756661,3.6756661,3.1415927,0
1.0019306,100.19306,0.52725029,-1.7684232e-06,0.00010778834,1,3.6819491,3.6819491,3.1415927,0
1.0019103,100.19104,0.53271699,-1.6587776e-06,0.00011460181,1,3.6882324,3.6882324,3.1415927,0
1.0018896,100.18896,0.53806621,-1.6886673e-06,0.0001101838,1,3.6945157,3.6945157,3.1415927,0
1.0018687,100.18688,0.54341519,-1.7185559e-06,0.00010576595,1,3.7007987,3.7007987,3.1415927,0
1.001848,100.1848,0.54876441,-1.7484458e-06,0.00010134794,1,3.707082,3.707082,3.1415927,0
1.0018271,100.18272,0.55411345,-1.7783344e-06,9.6930096e-05,1,3.7133651,3.7133651,3.1415927,0
1.0018064,100.18064,0.55946261,-1.8082242e-06,9.2512084e-05,1,3.7196484,3.7196484,3.1415927,0
1.0017855,100.17856,0.56481183,-1.8381139e-06,8.8094072e-05,1,3.7259316,3.7259316,3.1415927,0
1.0017648,100.17648,0.57016087,-1.8680025e-06,8.3676226e-05,1,3.7322147,3.7322147,3.1415927,0
1.0017439,100.1744,0.57551003,-1.8978923e-06,7.9258214e-05,1,3.738498,3.738498,3.1415927,0
1.0017232,100.17232,0.58085907,-1.9277809e-06,7.4840369e-05,1,3.744781,3.744781,3.1415927,0
1.0017023,100.17023,0.58600581,-1.8525141e-06,5.7038425e-05,1,3.7510643,3.7510643,3.1415927,0
1.0016816,100.16816,0.59111565,-1.8668397e-06,3.6488174e-05,1,3.7573476,3.7573476,3.1415927,0
1.0016608,100.16608,0.59622526,-1.881165e-06,1.5938705e-05,1,3.7636306,3.7636306,3.1415927,0
1.00164,100.164,0.60133511,-1.8954906e-06,-4.6115442e-06,1,3.7699139,3.7699139,3.1415927,0
1.0016192,100.16192,0.60644472,-1.9098159e-06,-2.5161013e-05,1,3.776197,3.776197,3.1415927,0
1.0015984,100.15984,0.61155456,-1.9241415e-06,-4.5711262e-05,1,3.7824802,3.7824802,3.1415927,0
1.0015776,100.15776,0.61666441,-1.9384672e-06,-6.6261513e-05,1,3.7887635,3.7887635,3.1415927,0
1.0015569,100.15568,0.62177402,-1.9527924e-06,-8.6810978e-05,1,3.7950466,3.7950466,3.1415927,0
1.001536,100.1536,0.62688386,-1.9671181e-06,-0.00010736123,1,3.8013299,3.8013299,3.1415927,0
1.0015153,100.15152,0.63193309,-1.8821182e-06,-0.00011316681,1,3.8076129,3.8076129,3.1415927,0
1.0014944,100.14944,0.63678157,-1.8967406e-06,-7.0912851e-05,1,3.8138962,3.8138962,3.1415927,0
1.0014737,100.14736,0.64163005,-1.9113631e-06,-2.8658886e-05,1,3.8201795,3.8201795,3.1415927,0
1.0014528,100.14528,0.64647835,-1.9259849e-06,1.3593472e-05,1,3.8264625,3.8264625,3.1415927,0
1.0014321,100.1432,0.65132684,-1.9406073e-06,5.5847435e-05,1,3.8327458,3.8327458,3.1415927,0
1.0014112,100.14112,0.65617514,-1.955229e-06,9.8099794e-05,1,3.8390288,3.8390288,3.1415927,0
1.0013905,100.13905,0.66102362,-1.9698514e-06,0.00014035376,1,3.8453121,3.8453121,3.1415927,0
1.0013696,100.13696,0.6658721,-1.9844738e-06,0.00018260772,1,3.8515954,3.8515954,3.1415927,0
1.0013489,100.13488,0.6707204,-1.9990957e-06,0.00022486008,1,3.8578784,3.8578784,3.1415927,0
1.001328,100.1328,0.67556888,-2.0137181e-06,0.00026711402,1,3.8641617,3.8641617,3.1415927,0
1.0013078,100.13079,0.68024188,-1.6164762e-06,0.00014830196,1,3.870445,3.870445,3.1415927,0
1.0012881,100.12881,0.68480498,-1.1341898e-06,-7.180297e-05,1,3.8767281,3.8767281,3.1415927,0
1.0012683,100.12683,0.68936825,-6.5188516e-07,-0.00029191625,1,3.8830113,3.8830113,3.1415927,0
1.0012486,100.12486,0.69393134,-1.6959878e-07,-0.00051202119,1,3.8892944,3.8892944,3.1415927,0
1.0012288,100.12288,0.69849461,3.1270588e-07,-0.0007321345,1,3.8955777,3.8955777,3.1415927,0
1.001209,100.1209,0.70305783,7.9501058e-07,-0.00095224776,1,3.901861,3.901861,3.1415927,0
1.0011892,100.11893,0.70762092,1.277297e-06,-0.0011723527,1,3.908144,3.908144,3.1415927,0
1.0011694,100.11695,0.71218419,1.7596016e-06,-0.001392466,1,3.9144273,3.9144273,3.1415927,0
1.0011498,100.11497,0.71674728,2.2418881e-06,-0.001612571,1,3.9207103,3.9207103,3.1415927,0
1.00113,100.113,0.72137237,-3.0714928e-06,0.00222228,1,3.9269936,3.9269936,3.1415927,0
1.0011123,100.11123,0.72563434,-2.9184462e-06,0.0019874317,1,3.9332769,3.9332769,3.1415927,0
1.0010946,100.10946,0.72989613,-2.7654055e-06,0.0017525925,1,3.9395599,3.9395599,3.1415927,0
1.0010769,100.1077,0.7341581,-2.6123589e-06,0.0015177443,1,3.9458432,3.9458432,3.1415927,0
1.0010593,100.10593,0.73841989,-2.4593182e-06,0.001282905,1,3.9521263,3.9521263,3.1415927,0
1.0010415,100.10416,0.74268186,-2.3062719e-06,0.0010480569,1,3.9584095,3.9584095,3.1415927,0
1.0010239,100.10239,0.74694377,-2.1532253e-06,0.0008132087,1,3.9646928,3.9646928,3.1415927,0
1.0010062,100.10062,0.75120562,-2.0001846e-06,0.00057836942,1,3.9709759,3.9709759,3.1415927,0
1.0009886,100.09885,0.75546753,-1.847138e-06,0.00034352127,1,3.9772592,3.9772592,3.1415927,0
1.0009708,100.09709,0.75972939,-1.6940974e-06,0.00010868202,1,3.9835422,3.9835422,3.1415927,0
1.000954,100.0954,0.76387018,-1.4770912e-06,-3.0148489e-05,1,3.9898255,3.9898255,3.1415927,0
1.0009384,100.09384,0.76781708,-1.4679316e-06,-1.5726306e-05,1,3.9961088,3.9961088,3.1415927,0
1.0009228,100.09228,0.77176386,-1.4587724e-06,-1.304669e-06,1,4.0023918,4.0023918,3.1415927,0
1.0009072,100.09072,0.7757107,-1.4496128e-06,1.3117515e-05,1,4.0086751,4.0086751,3.1415927,0
1.0008916,100.08916,0.7796576,-1.4404532e-06,2.7539698e-05,1,4.0149584,4.0149584,3.1415927,0
1.0008759,100.0876,0.7836045,-1.4312935e-06,4.1961881e-05,1,4.0212417,4.0212417,3.1415927,0
1.0008605,100.08604,0.78755111,-1.4221347e-06,5.6382971e-05,1,4.0275245,4.0275245,3.1415927,0
1.0008448,100.08448,0.79149801,-1.4129751e-06,7.0805152e-05,1,4.0338078,4.0338078,3.1415927,0
1.0008292,100.08292,0.79544491,-1.4038154e-06,8.5227337e-05,1,4.040091,4.040091,3.1415927,0
1.0008136,100.08136,0.79939175,-1.3946559e-06,9.9649522e-05,1,4.0463743,4.0463743,3.1415927,0
1.0007997,100.07996,0.80307931,-1.2797689e-06,0.00010176461,1,4.0526576,4.0526576,3.1415927,0
1.0007861,100.07861,0.80668902,-1.2957471e-06,9.9960977e-05,1,4.0589404,4.0589404,3.1415927,0
1.0007726,100.07726,0.8102991,-1.3117265e-06,9.8157201e-05,1,4.0652237,4.0652237,3.1415927,0
1.000759,100.0759,0.81390911,-1.3277059e-06,9.6353426e-05,1,4.071507,4.071507,3.1415927,0
1.0007455,100.07455,0.81751913,-1.3436854e-06,9.454965e-05,1,4.0777903,4.0777903,3.1415927,0
1.0007319,100.0732,0.82112914,-1.3596648e-06,9.2745875e-05,1,4.0840735,4.0840735,3.1415927,0
1.0007185,100.07185,0.82473892,-1.375643e-06,9.0942231e-05,1,4.0903563,4.0903563,3.1415927,0
